PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10007803,10007803,UAHFGRITGRI,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRKJHEB,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFGRKJHEB,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKJMHI,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKJMHI,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFGRKJPHI,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKJPHI,1,1,20,20,35,55,13,CAH20-02-01,95,25,0,5,15,0,50
10007803,10007803,UAHFGRKJPRS,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFGRKJPRS,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKJSAN,1,1,10,10,15,65,13,CAH15-01-04,90,10,0,0,25,10,55
10007803,10007803,UAHFGRKJSAN,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKJSPN,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGRKJSPN,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRKSGRK,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGRNJBPS,1,1,15,15,25,55,13,CAH04-01-01,100,20,0,0,15,0,65
10007803,10007803,UAHFGRNJBPS,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGRNJIRL,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFGRNJIRL,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
