,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
164,10000291,10000291,K00462,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
165,10000291,10000291,K00466,1,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
166,10000291,10000291,K00468,1,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
167,10000291,10000291,K00475,1,10.0,10.0,15.0,70.0,80.0,10.0,10.0,0.0,20.0,10.0,50.0
168,10000291,10000291,K00476,1,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
169,10000291,10000291,K00478,1,10.0,10.0,15.0,85.0,80.0,10.0,10.0,0.0,0.0,10.0,75.0
170,10000291,10000291,K00480,1,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
171,10000291,10000291,K00481,1,20.0,20.0,35.0,65.0,90.0,5.0,5.0,5.0,10.0,0.0,75.0
172,10000291,10000291,K00482,1,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
173,10000291,10000291,K00483,1,10.0,10.0,10.0,90.0,90.0,0.0,10.0,0.0,20.0,0.0,75.0
174,10000291,10000291,K00484,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
175,10000291,10000291,K00485,1,10.0,10.0,15.0,70.0,90.0,0.0,10.0,0.0,10.0,0.0,80.0
176,10000291,10000291,K00486,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
177,10000291,10000291,K00487,1,50.0,50.0,85.0,55.0,85.0,10.0,0.0,10.0,15.0,0.0,60.0
178,10000291,10000291,K00488,1,15.0,15.0,25.0,60.0,85.0,0.0,5.0,0.0,5.0,5.0,80.0
179,10000291,10000291,K00489,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
180,10000291,10000291,K00490,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
181,10000291,10000291,K00491,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
182,10000291,10000291,K00492,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
183,10000291,10000291,K00493,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
184,10000291,10000291,K00494,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
185,10000291,10000291,K00495,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
186,10000291,10000291,K00496,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
187,10000291,10000291,K00497,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
188,10000291,10000291,K00498,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
189,10000291,10000291,K00499,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
190,10000291,10000291,K00501,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
191,10000291,10000291,K00501,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
192,10000291,10000291,K00502,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
193,10000291,10000291,K00502,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
194,10000291,10000291,K00503,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
195,10000291,10000291,K00503,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
196,10000291,10000291,K00504,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
197,10000291,10000291,K00505,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
198,10000291,10000291,K00506,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
199,10000291,10000291,K00507,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
200,10000291,10000291,K00508,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
201,10000291,10000291,K00509,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
202,10000291,10000291,K00510,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
203,10000291,10000291,K00511,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
204,10000291,10000291,K00512,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
205,10000291,10000291,K00513,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
206,10000291,10000291,K00514,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
207,10000291,10000291,K00517,1,30.0,30.0,45.0,65.0,85.0,5.0,10.0,5.0,15.0,5.0,65.0
